Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2025-02-11 08:25:00+00:00,23043.849609375,23063.75,23037.30078125,23057.05078125,0
2025-02-11 08:30:00+00:00,23004.05078125,23052.05078125,23000.349609375,23043.5,0
2025-02-11 08:35:00+00:00,23001.75,23009.69921875,22986.80078125,23003.849609375,0
2025-02-11 08:40:00+00:00,23052.349609375,23054.0,23001.55078125,23001.94921875,0
2025-02-11 08:45:00+00:00,23022.75,23053.099609375,23015.650390625,23052.650390625,0
2025-02-11 08:50:00+00:00,23030.650390625,23036.19921875,23006.400390625,23022.75,0
2025-02-11 08:55:00+00:00,23018.5,23054.94921875,23018.5,23031.400390625,0
2025-02-11 09:00:00+00:00,23040.55078125,23042.400390625,23012.94921875,23018.30078125,0
2025-02-11 09:05:00+00:00,23025.349609375,23044.650390625,23014.69921875,23040.55078125,0
2025-02-11 09:10:00+00:00,23026.599609375,23028.55078125,23009.599609375,23025.349609375,0
2025-02-11 09:15:00+00:00,23050.19921875,23054.650390625,23027.44921875,23027.599609375,0
2025-02-11 09:20:00+00:00,23113.0,23113.94921875,23049.05078125,23049.19921875,0
2025-02-11 09:25:00+00:00,23055.349609375,23118.400390625,23033.94921875,23112.55078125,0
2025-02-11 09:30:00+00:00,23081.5,23086.849609375,23053.650390625,23055.75,0
2025-02-11 09:35:00+00:00,23078.94921875,23084.900390625,23059.25,23081.400390625,0
2025-02-11 09:40:00+00:00,23073.75,23081.099609375,23066.849609375,23079.44921875,0
2025-02-11 09:45:00+00:00,23076.30078125,23080.80078125,23068.5,23073.400390625,0
2025-02-11 09:50:00+00:00,23070.75,23077.349609375,23060.400390625,23076.599609375,0
2025-02-11 09:55:00+00:00,23068.55078125,23074.650390625,23063.099609375,23073.75,0
2025-02-12 03:45:00+00:00,23032.25,23077.94921875,23019.75,23068.400390625,0
2025-02-12 03:50:00+00:00,23000.30078125,23047.650390625,22996.400390625,23031.55078125,0
2025-02-12 03:55:00+00:00,22979.19921875,23019.5,22979.19921875,22999.849609375,0
2025-02-12 04:00:00+00:00,22935.30078125,22986.400390625,22935.30078125,22978.849609375,0
2025-02-12 04:05:00+00:00,22924.94921875,22945.94921875,22919.44921875,22936.400390625,0
2025-02-12 04:10:00+00:00,22911.80078125,22932.30078125,22892.900390625,22925.44921875,0
2025-02-12 04:15:00+00:00,22858.599609375,22912.25,22858.30078125,22911.94921875,0
2025-02-12 04:20:00+00:00,22875.900390625,22876.55078125,22850.599609375,22858.80078125,0
2025-02-12 04:25:00+00:00,22840.75,22887.19921875,22829.150390625,22876.849609375,0
2025-02-12 04:30:00+00:00,22819.599609375,22840.349609375,22815.349609375,22840.150390625,0
2025-02-12 04:35:00+00:00,22844.44921875,22851.25,22817.44921875,22818.19921875,0
2025-02-12 04:40:00+00:00,22830.599609375,22866.30078125,22828.150390625,22844.05078125,0
2025-02-12 04:45:00+00:00,22856.150390625,22873.349609375,22799.349609375,22831.099609375,0
2025-02-12 04:50:00+00:00,22856.400390625,22858.25,22837.44921875,22855.900390625,0
2025-02-12 04:55:00+00:00,22857.849609375,22880.30078125,22845.0,22856.400390625,0
2025-02-12 05:00:00+00:00,22889.849609375,22890.75,22850.150390625,22857.400390625,0
2025-02-12 05:05:00+00:00,22914.650390625,22925.599609375,22877.150390625,22889.55078125,0
2025-02-12 05:10:00+00:00,22866.650390625,22916.849609375,22862.599609375,22913.849609375,0
2025-02-12 05:15:00+00:00,22941.55078125,22948.05078125,22867.5,22869.599609375,0
2025-02-12 05:20:00+00:00,22938.0,22954.44921875,22931.099609375,22942.05078125,0
2025-02-12 05:25:00+00:00,22923.05078125,22942.25,22911.599609375,22937.900390625,0
2025-02-12 05:30:00+00:00,22897.650390625,22929.650390625,22889.0,22923.25,0
2025-02-12 05:35:00+00:00,22936.94921875,22941.19921875,22872.19921875,22896.849609375,0
2025-02-12 05:40:00+00:00,22925.55078125,22944.80078125,22923.099609375,22936.849609375,0
2025-02-12 05:45:00+00:00,22933.400390625,22934.25,22905.599609375,22924.900390625,0
2025-02-12 05:50:00+00:00,22938.55078125,22940.19921875,22910.94921875,22933.400390625,0
2025-02-12 05:55:00+00:00,22928.19921875,22941.150390625,22922.349609375,22938.400390625,0
2025-02-12 06:00:00+00:00,22913.650390625,22949.400390625,22909.25,22926.900390625,0
